GeoLoc,Year,State,Pop_Est,F_Fatal,M_Fatal,O_Fatal,F_ER,M_ER,O_ER,F_HOSP,M_HOSP,O_HOSP
POINT (-111.76381127699972 34.865970280000454),2014,Arizona,6732873,53,33,86,17422,15277,32699,3408,2294,5702
POINT (-92.27449074299966 34.74865012400045),2014,Arkansas,2968759,16.5,16.5,33,7350,6260,13610,1559,916,2475
POINT (-120.99999953799971 37.63864012300047),2014,California,38586706,259,148,407,,,,,,
POINT (-106.13361092099967 38.843840757000464),2014,Colorado,5352637,29,12,41,,,,2083,1948,4031
POINT (-72.64984095199964 41.56266102000046),2014,Connecticut,3595697,21,15,36,,,,,,
POINT (-75.57774116799965 39.008830667000495),2014,Delaware,933131,,,,,,,,,
POINT (-77.036871 38.907192),2014,District of Columbia,663603,,,,,,,895,473,1368
POINT (-81.92896053899966 28.932040377000476),2014,Florida,19853880,114,77,191,73295,58264,131559,18202,9916,28118
POINT (-83.62758034599966 32.83968109300048),2014,Georgia,10071204,58,38,96,35066,30197,65263,5681,3376,9057
POINT (-157.85774940299973 21.304850435000446),2014,Hawaii,1415335,12,12,24,4298,4228,8526,616,476,1092
POINT (-114.3637300419997 43.682630005000476),2014,Idaho,1632248,11,11,22,,,,,,
POINT (-88.99771017799969 40.48501028300046),2014,Illinois,12885092,107,60,167,,,,,,
POINT (-86.14996019399968 39.766910452000445),2014,Indiana,6596019,38,35,73,,,,,,
POINT (-93.81649055599968 42.46940091300047),2014,Iowa,3110643,38,16,54,6342,5484,11826,1148,741,1889
POINT (-98.20078122699965 38.34774030000045),2014,Kansas,2901861,21,6,27,,,,,,
POINT (-84.77497104799966 37.645970271000465),2014,Kentucky,4416992,23,12,35,12730,9683,22413,3158,1619,4777
POINT (-92.44568007099969 31.31266064400046),2014,Louisiana,4645938,36,25,61,,,,,,
POINT (-68.98503133599962 45.254228894000505),2014,Maine,1331217,,,,,,,,,
POINT (-76.60926011099963 39.29058096400047),2014,Maryland,5960064,58,29,87,24552,21557,46109,4715,3080,7795
POINT (-72.08269067499964 42.27687047000046),2014,Massachusetts,6764864,45,31,76,,,,,,
POINT (-84.71439026999968 44.6613195430005),2014,Michigan,9932033,56,38,94,,,,8094,4726,12820
POINT (-94.79420050299967 46.35564873600049),2014,Minnesota,5452665,37,29,66,11288,10526,21814,1938,1359,3297
POINT (-89.53803082499968 32.745510099000455),2014,Mississippi,2991892,39,9,48,,,,,,
POINT (-92.56630005299968 38.635790776000476),2014,Missouri,6059130,55,34,89,,,,,,
POINT (-109.42442064499971 47.06652897200047),2014,Montana,1022657,,,,,,,,,
POINT (-99.36572062299967 41.6410409880005),2014,Nebraska,1879955,21,9,30,3226,2839,6065,688,423,1111
POINT (-117.07184056399967 39.493240390000494),2014,Nevada,2818935,12.5,12.5,25,7642,6449,14091,1291,926,2217
POINT (-71.50036091999965 43.65595011300047),2014,New Hampshire,1334257,,,,,,,,,
POINT (-74.27369128799967 40.13057004800049),2014,New Jersey,8867277,59,52,111,36441,29717,66158,8283,5278,13561
POINT (-106.24058098499967 34.52088095200048),2014,New Mexico,2090236,14,14,28,,,,1055,828,1883
POINT (-75.54397042699964 42.82700103200045),2014,New York,19653431,178,124,302,,,,19619,13683,33302
POINT (-79.15925046299964 35.466220975000454),2014,North Carolina,9937295,67,39,106,31816,26514,58330,5522,3463,8985
POINT (-100.11842104899966 47.47531977900047),2014,North Dakota,738736,,,,,,,,,
POINT (-82.40426005599966 40.06021014100048),2014,Ohio,11606573,74,42,116,,,,,,
POINT (-97.52107021399968 35.47203135600046),2014,Oklahoma,3879187,34,22,56,,,,,,
POINT (-120.15503132599969 44.56744942400047),2014,Oregon,3965447,50,27,77,,,,1282,798,2080
POINT (-77.86070029399963 40.79373015200048),2014,Pennsylvania,12792392,96,53,149,,,,,,
POINT (-71.52247031399963 41.70828019300046),2014,Rhode Island,1056511,,,,3378,2487,5865,851,462,1313
POINT (-81.04537120699968 33.998821303000454),2014,South Carolina,4826858,52,22,74,,,,,,
POINT (-100.3735306369997 44.353130053000484),2014,South Dakota,849670,,,,,,,380,282,662
POINT (-85.77449091399967 35.68094058000048),2014,Tennessee,6544617,40,24,64,,,,,,
POINT (-99.42677020599967 31.827240407000488),2014,Texas,26963092,125,87,212,,,,,,
POINT (-111.58713063499971 39.360700171000474),2014,Utah,2938327,15.5,15.5,31,3923,3381,7304,840,695,1535
POINT (-72.51764079099962 43.62538123900049),2014,Vermont,625693,,,,1442,1041,2483,147,96,243
POINT (-78.45789046299967 37.54268067400045),2014,Virginia,8315430,66,37,103,,,,,,
POINT (-120.47001078999972 47.52227862900048),2014,Washington,7057531,57,36,93,,,,2314,1551,3865
